Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9809,2070 October 19,18:51:12,P,9N,74E
9810,2071 March 16,1:31:09,N,1N,20W
9811,2071 September 9,15:05:41,N,4S,133E
9812,2072 March 4,15:23:07,T,6N,133E
9813,2072 August 28,16:05:42,T,9S,119E
9814,2073 February 22,7:24:53,T,10N,107W
9815,2073 August 17,17:42:41,T,13S,96E
9816,2074 February 11,20:55:58,N,15N,50E
9817,2074 July 8,17:21:38,N,21S,101E
9818,2074 August 7,1:56:03,N,17S,27W
9819,2075 January 2,9:55:03,N,22N,147W
9820,2075 June 28,9:55:35,P,23S,147W
9821,2075 December 22,8:55:55,P,23N,134W
9822,2076 June 17,2:39:47,T-,23S,39W
9823,2076 December 10,11:34:51,T+,23N,175W
9824,2077 June 6,14:59:52,P,24S,135E
9825,2077 November 29,21:35:53,P,23N,34E
9826,2078 April 27,4:35:44,N,13S,68W
9827,2078 October 21,3:08:03,N,10N,50W
9828,2078 November 19,12:40:04,N,21N,166E
9829,2079 April 16,5:10:45,P,10S,77W
9830,2079 October 10,17:30:30,T,7N,95E
9831,2080 April 4,11:23:38,T,6S,170W
9832,2080 September 29,1:52:42,T,3N,30W
9833,2081 March 25,0:22:01,P,3S,4W
9834,2081 September 18,3:35:26,N,1S,55W
9835,2082 February 13,6:29:19,P,14N,93W
9836,2082 August 8,14:46:42,Nx,17S,141E
9837,2083 February 2,18:26:46,T,17N,88E
9838,2083 July 29,1:05:34,T-,19S,14W
9839,2084 January 22,23:13:00,T,19N,15E
9840,2084 July 17,16:58:51,P,20S,107E
9841,2085 January 10,22:32:29,N,21N,24E
9842,2085 June 8,2:17:36,N,24S,34W
9843,2085 July 7,10:04:40,N,21S,149W
9844,2085 December 1,8:25:35,N,23N,128W
9845,2086 May 28,12:43:47,P,22S,169E
9846,2086 November 20,20:19:42,P,20N,52E
9847,2087 May 17,15:55:20,T+,19S,121E
9848,2087 November 10,12:05:33,T-,17N,175E
9849,2088 May 5,16:16:50,P,16S,116E
9850,2088 October 30,3:03:20,P,13N,49W
9851,2089 March 26,9:34:14,N,4S,142W
9852,2089 September 19,22:11:17,N,0N,26E
9853,2090 March 15,23:48:31,T,1N,6E
9854,2090 September 8,22:52:29,T,5S,17E
9855,2091 March 5,15:58:22,T,6N,124E
9856,2091 August 29,0:38:25,T,10S,8W
9857,2092 February 23,5:20:59,N,11N,76W
